,Disease,Symptoms
232,Endometrial polyps,"heavy menstrual bleeding, Abnormal vaginal bleeding between periods, after intercourse, or after menopause, Menstrual bleeding that is not regular or predictable, Trouble getting or staying pregnant (infertility)"
233,Endometriosis,"Pain with sexual intercourse, Pain or burning with urination, Painful periods -- Cramps or pain in your lower belly may begin a week or two before your period, cramps may be steady and range from dull to severe, Pain with bowel movements, Long-term pelvic or low back pain that may occur at any time and last for 6 months or more"
234,Endometritis,"fever, Fever-- usually low-grade, Swelling of abdomen, Constipation, Abnormal vaginal bleeding between periods, after intercourse, or after menopause, Abdominal pain and tenderness in the lower abdomen, Pain with bowel movements"
235,Endophthalmitis,"Nasal congestion, Dry mouth, Bad breath, Cracked lips"
236,Enlarged prostate,"Blood in the urine, Urinary incontinence, Inability to urinate except in certain positions, Frequent and strong urge to urinate, Dribbling at the end of urinating, Incomplete emptying of your bladder, Needing to urinate 2 or more times per night, Slowed or delayed start of the urinary stream, Weak urine stream"
237,Enteritis,"Pain in the abdomen, Blood in the stool, Loss of appetite, diarrhea, Vomiting"
238,Entropion,"Loss of vision, Red eyes, Tearing (watery eyes), Eye pain"
239,Eosinophilic fasciitis,"Carpal tunnel syndrome, Muscle pain, Tenderness and swelling of the skin on the arms, legs, or sometimes the joints (most often on both sides of the body), Arthritis, Thickened skin that looks puckered"
240,Epidermoid cyst,"Skin redness, Warm skin in the area of redness, Tender or sore skin, Warm skin in the affected area"
241,Epidermolysis bullosa,"Hair loss, Nail problems, including missing or deformed nails, Blisters around the eyes and nose, Blisters in or around the mouth and throat, causing feeding problems or swallowing difficulty, Blisters on the skin as a result of minor injury or temperature change, especially of the feet, Blistering that is present at birth, Hoarse cry, cough, or other breathing problems, Tiny white bumps on previously injured skin, Mitten-like hands or feet, Thickening of skin on hands and feet"
242,Epidural abscess,"Nausea and vomiting, Lethargy, Headache, Weakness of the face or facial asymmetry, Back pain, Fever-- usually low-grade, Urination difficulty, Decreased ability to feel touch or pain (sensation), Bowel or bladder incontinence, Decreased ability to move any part of the body"
243,Epidural hematoma,"Fainting/Drowsiness, Nausea and vomiting, Convulsions (seizures), Confusion, Headache, weakness, Unconsciousness, Enlarged pupil in one eye"
244,Epiglottitis,"Bluish skin(fingernails and lips), Difficulty breathing, Hoarseness, fever, Fever-- usually low-grade, Difficulty swallowing -- choking easily, drooling, or gagging, Abnormal breathing sounds (stridor)"
245,Epilepsy,"violent shaking and loss of alertness, staring spells, Sensations may be tingling, smelling an odor that is not actually there, or emotional changes"
246,Episcleritis,"Light sensitivity, Eye pain, A pink or purple color to the normally white part of the eye, Eye tenderness, Tearing of the eye"
247,Eruptive xanthomatosis,"Tearing (watery eyes), Waxy skin bumps, Firm skin bumps"
248,Erysipeloid,"Redness around the skin eruptions, Swollen lymph nodes in the neck, under arms, and groin, general swelling, Throbbing pain with itching or burning sensation, Fluid-filled blisters"
249,Erythema multiforme,"Cough, Headache, Joint pain, Fever-- usually low-grade, Sore throat, Itching, Runny nose, Skin sores (lesions)"
250,Erythroderma,"Rapid heart rate, Dehydration, Swelling of legs, Swelling of arms, Itching, Thickened skin that looks puckered, Redness over 80% to 90% of the body, Scaly skin patches, Loss of temperature regulation by the body"
251,Esophageal cancer,"Heartburn, Unintentional weight loss, Vomiting blood, Backward movement of food through the esophagus and possibly mouth (regurgitation)"
252,Esophagitis,"Cough, Difficulty swallowing liquids and solids, Heartburn, Hoarseness, Sore throat"
253,Ethmoiditis,"Nasal congestion, Problems with smell, Runny nose, Headache between the eyes"
254,Facial tics,"Problems smiling, grimacing, or making facial expressions, Eye blinking, Mouth twitching, Nose wrinkling, Squinting"
255,Facioscapulohumeral muscular dystrophy,"Drooping eyelids, Inability to whistle due to weakness of the cheek muscles, Decreased facial expression due to weakness of facial muscles, Depressed or angry facial expression, Difficulty pronouncing words, Difficulty reaching above the shoulder level"
256,Familial dysautonomia,"Convulsions (seizures), Lack of coordination, diarrhea, Constipation, Dry eye, which may lead to eye sores or infections, Lack of tears, Swallowing problems in infants, resulting in aspiration pneumonia or poor growth, Breath-holding spells, resulting in fainting, Inability to feel pain and changes in temperature (can lead to injuries), Unusually smooth, pale tongue surface and lack of taste buds and decrease in sense of taste"
257,Familial hypercholesterolemia,"Fatty skin deposits called xanthomas over parts of the hands, elbows, knees, ankles and around the cornea of the eye, Cholesterol deposits in the eyelids (xanthelasmas), Cramping of one or both calves when walking, Chest pain (angina) or other signs of coronary artery disease may be present at a young age, Sudden stroke-like symptoms such as trouble speaking, drooping on one side of the face, weakness of an arm or leg, and loss of balance"
258,Familial lipoprotein lipase deficiency,"Pain in the abdomen, Nausea and vomiting, Loss of appetite, Yellowing of skin and whites of the eyes (jaundice), Muscle twitching, Abnormal coloring of the retina, Enlarged lymph nodes, liver, or spleen, Yellow deposits of fatty material in the skin called xanthomas, these growths may appear on the back, buttocks, soles of the feet, or ankles, knees and elbows, Failure to thrive, High triglyceride levels in the blood, Chronic inflammation of the pancreas"
259,Familial Mediterranean fever,"Pain in the abdomen, Joint pain, Fever with chills and sweating, Chest pain, which worsens when you breathe in deeply (pleurisy), Skin sores (lesions) that are red and swollen and range from 5 to 20 cm in diameter"
260,Fanconi syndrome,"Increased need to urinate, Dehydration, Bone pain or tenderness, Excessive thirst, Muscle weakness, Increased risk of fracture due to decreased bone density"
261,Farsightedness,"Crossed eyes, Blurred vision, Eye pain, Eye strain, Headache while reading"
262,Fecal impaction,"Bloating or abdominal gas, Abdominal cramps, Leakage of liquid or sudden episodes of watery diarrhea in someone who has chronic (long-term) constipation, Rectal bleeding, Small, semi-formed stools, Straining when trying to pass stools"
263,Felty syndrome,"Unintentional weight loss, Fatigue(Feeling Tired), Loss of appetite, Malaise(general discomfortness,ill feeling or uneasiness), Red eyes, Weakness of an arm or leg, Joint swelling, Skin ulcers, Recurrent infections"
264,Femoral hernia,"Pain in the abdomen, Nausea and vomiting, Sudden groin or thigh pain"
265,Fibrocystic breasts,"Pain or discomfort in both breasts that may come and go with your period, but may last through the whole month, Breasts that feel full, swollen, or heavy, Pain or discomfort under the arms, Breast lumps that change in size with the menstrual period"
266,Fibrous dysplasia,"Bone pain or tenderness, Increased risk of fracture due to decreased bone density, Bone sores (lesions), Hormone (endocrine gland) problems, Unusual skin color (pigmentation), which occurs with McCune-Albright syndrome"
267,Flu,"Fainting/Drowsiness, Nausea and vomiting, Fatigue(Feeling Tired), Headache, fever, Fever-- usually low-grade, Chills, Body aches, Flushed face"
268,Focal segmental glomerulosclerosis,"Loss of appetite, weight gain, Swelling, called generalized edema, from fluids held in the body"
269,Focal seizure,"Pain in the abdomen, Nausea and vomiting, Rapid heart rate, Excessive sweating, Hallucinations, Muscle contractions, called fasciculations, Eyes move quickly from side to side, staring spells, Flushed face, Abnormal sensations, such as numbness, tingling, crawling sensation (like ants crawling on the skin), Dilated pupils"
270,Folate-deficiency anemia,"Fatigue(Feeling Tired), Headache, weakness, Sore throat, Sore or inflamed tongue, Pale color of the arm or leg (pallor)"
271,Fragile X syndrome,"Intellectual disability, Acting defiant or showing impulsive behavior, Delayed walking, Delays in sitting up, crawling, and walking, Autism spectrum disorder, Hand flapping or hand biting, Speech and language delay, Tendency to avoid eye contact"
272,Friedreich ataxia,"Lack of coordination, Hearing loss, Speech problems, such as a slow or abnormal speech pattern (slurring of words), Decreased coordination of movements (ataxia) in late childhood that can include ataxic gait (cerebellar ataxia), jerky gait, unsteadiness, Muscle weakness, Jerky eye movements (nystagmus), Changes in vision, particularly color vision, Decrease in ability to feel vibrations in lower limbs, Foot problems, such as hammer toe and high arches, No reflexes in the legs"
273,Fuchs dystrophy,"Light sensitivity, Blurred vision, Eye pain, Seeing colored halos around lights, Worsening vision throughout the day"
274,Fungal arthritis,"Joint pain, fever, Fever-- usually low-grade, Swelling of legs, Joint swelling, Joint stiffness, swelling of ankles"
275,Galactosemia,"Convulsions (seizures), Lethargy, Yellowing of skin and whites of the eyes (jaundice), Irritability, Vomiting, Failure to gain weight"
276,Gallstones,"fever, Fever-- usually low-grade, Yellowing of skin and whites of the eyes (jaundice), Pain in the right upper or middle upper abdomen for at least 30 minutes, the pain may be constant or cramping, it can feel sharp or dull"
277,Gangrene,"Foul-smelling discharge, Discoloration (blue or black if skin is affected; red or bronze if the affected area is beneath the skin), Loss of feeling in the area (which may happen after severe pain in the area)"
278,Gas gangrene,"Rapid heart rate, Excessive sweating, fever, Yellowing of skin and whites of the eyes (jaundice), Fluid-filled blisters, Air under the skin, Drainage from the tissues, foul-smelling brown-red or bloody fluid, Moderate to severe pain around a skin injury, Pale skin color, later becoming dusky and changing to dark red or purple, Swelling that worsens around a skin injury, Vesicle formation, combining into large blisters"
279,Gastritis,"Nausea and vomiting, Loss of appetite, Pain in the right upper part of the abdomen"
280,Gastrointestinal perforation,"Pain in the abdomen, Nausea and vomiting, Shock, fever, Fever-- usually low-grade, Chills, Fever with chills and sweating"
281,Gastroparesis,"Pain in the abdomen, Nausea and vomiting, Unintentional weight loss, Abdominal distention, Hypoglycemia, Premature abdominal fullness after meals"
282,Generalized anxiety disorder,"Fatigue(Feeling Tired), Irritability, Difficulty in thinking, Problems falling or staying asleep, or sleep that is restless and unsatisfying, Restlessness when awake"
283,Genital herpes,"fever, Loss of appetite, Fever-- usually low-grade, Swollen lymph nodes in the neck, under arms, and groin, Malaise(general discomfortness,ill feeling or uneasiness), Muscle aches in the lower back, buttocks, thighs, or knees"
284,Gianotti-Crosti syndrome,"Rash or patch on the skin, usually on the arms and legs, Brownish-red or copper-colored patch that is firm and flat on top, String of bumps may appear in a line, Rash may appear on the palms and soles, but not on the back, chest, or belly area"
285,Giardia infection,"Nausea and vomiting, Unintentional weight loss, Headache, Loss of appetite, Fever-- usually low-grade, Bloating or abdominal gas"
286,Gingivitis,"Bleeding gums, Mouth sores, Bad breath, Bright red or reddish-purple gums, Gums that are tender when touched, but otherwise painless, Swollen gums, Shiny appearance to gums"
287,Gingivostomatitis,"fever, Fever-- usually low-grade, Malaise(general discomfortness,ill feeling or uneasiness), Bad breath, Sores on the inside of the cheeks or gums, Very sore mouth with no desire to eat"
288,Glaucoma,"Nausea and vomiting, Loss of vision, Swelling of eye, Light sensitivity, Red eyes, Tearing (watery eyes), Cloudy, fuzzy, foggy, or filmy vision, Eye pain, Rainbow-like halos around lights"
289,Glomerulonephritis,"Blood in the urine, Swelling of the face, Swelling of legs, Swelling of feet, Swelling of abdomen, Foamy appearance of urine, swelling of ankles"
290,Glomus jugulare tumor,"Fainting/Drowsiness, Difficulty swallowing liquids and solids, Hearing loss, Hoarseness, Weakness or loss of movement in the face"
291,Glomus tympanum tumor,"Hearing loss, Ringing (tinnitus) in the affected ear, Weakness or loss of movement in the face"
292,Glossitis,"Difficulty swallowing liquids and solids, swelling of tongue, Problem speaking , Smooth surface of the tongue, Pale or bright red color to the tongue"
293,Glossopharyngeal neuralgia,"Severe pain or burning in the nose, eyes, ears, lips, or tongue, pain in back of the nose and throat (nasopharynx), pain in back of the tongue, pain in tonsil area"
294,Glucagonoma,"Increased need to urinate, Unintentional weight loss, diarrhea, Excessive thirst, Glucose intolerance (body has problem breaking down sugars), High blood sugar, Increased appetite"
295,Gonococcal arthritis,"Joint pain, fever, Fever-- usually low-grade, Rashes, Burning sensation when urinating, Pain in the hands or wrists due to tendon inflammation"
296,Gonorrhea,"Increased need to urinate, Sore throat, Burning sensation when urinating, Painful sexual intercourse, Discharge from the penis or rectum, Tenderness or pain in the testicles, Abdominal pain and tenderness in the lower abdomen, Red or swollen opening of penis (urethra), Abnormal uterine bleeding, Bleeding after sex, Abnormal vaginal discharge with greenish, yellow or foul smelling discharge"
297,Gout,"Joint pain, fever, Fever-- usually low-grade, joint appears warm and red"
298,Gram-negative meningitis,"Nausea and vomiting, Headache, Stiffness in the neck, Light sensitivity, Fever with chills and sweating, Mental status changes"
299,Ichthyosis vulgaris,"Dry skin, Scaly skin patches, Possible skin thickening, Mild itching of the skin"
300,Idiopathic hypersomnia,"Daytime naps that do not relieve drowsiness, Difficulty waking from a long sleep -- may feel confused or disoriented (''sleep drunkenness''), Increased need for sleep during the day -- even while at work, or during a meal or conversation, Increased sleep time -- up to 14 to 18 hours a day"
301,Idiopathic intracranial hypertension,"Fainting/Drowsiness, Nausea and vomiting, Loss of vision, Ringing (tinnitus) in the affected ear, Blurred vision, Double vision, neck pain, Headaches, throbbing, daily, irregular and worse in the morning, Low back pain, radiating along both legs"
302,Idiopathic pulmonary fibrosis,"Fainting/Drowsiness, Unintentional weight loss, Shortness of breath, chest pain, Dry cough, Not able to be as active as before"
303,Hairy cell leukemia,"Unintentional weight loss, Fatigue(Feeling Tired), Excessive sweating, Easy bruising and bleeding, Swollen lymph nodes in the neck, under arms, and groin, Infections that keep coming back (recur), despite treatment, Pain or fullness in the upper left belly (enlarged spleen)"
304,Hantavirus,"Nausea and vomiting, Shortness of breath, Headache, Malaise(general discomfortness,ill feeling or uneasiness), Chills, Fever with chills and sweating, Muscle pain, Dry cough"
305,Hartnup disorder,"Short stature (well below the average height for a person of the same age and sex), diarrhea, Light sensitivity, Rashes, Quick mood changes"
306,Heart attack,"Fainting/Drowsiness, Nausea and vomiting, Shortness of breath, Excessive sweating, Anxiety, Palpitations, chest pain, A tight band around the chest, Squeezing or heavy pressure on chest, Something heavy sitting on your chest"
307,Heart block,"Fainting/Drowsiness, Palpitations, chest pain"
308,Hemochromatosis,"Pain in the abdomen, Unintentional weight loss, weakness, Joint pain, Darkening of the skin, Loss of sexual desire, Loss of body hair"
309,Hemolytic anemia,"Pale skin, Rapid heart rate, Shortness of breath, weakness, Lightheadedness, Pain or fullness in the upper left belly (enlarged spleen)"
310,Hemolytic-uremic syndrome,"Stupor (lack of alertness), Blood in the stool, Lethargy, weakness, fever, Fever-- usually low-grade, Easy bruising and bleeding, diarrhea, Irritability, Vomiting, Pale color of the arm or leg (pallor)"
311,Hemophilia A,"Blood in the stool, Joint pain, Blood in the urine, Nosebleeds, Easy bruising and bleeding, Joint swelling, Gastrointestinal tract and urinary tract bleeding, Bleeding that starts without cause"
312,Hemorrhoids,"A lump in or near the anus, Anal pain, Itching in anal, Pain with bowel movements, Painless bright red blood from the rectum"
313,Hemothorax,"Pale skin, Clammy skin, Rapid heart rate, Shallow breathing, Low blood pressure, Shortness of breath, Anxiety, chest pain, Restlessness"
314,Hepatic ischemia,"Loss of appetite, Yellowing of skin and whites of the eyes (jaundice), Malaise(general discomfortness,ill feeling or uneasiness)"
315,Hepatic vein obstruction (Budd-Chiari),"Vomiting blood, Yellowing of skin and whites of the eyes (jaundice), Swelling of abdomen, Pain in the right upper abdomen"
316,Hepatitis,"Pain in the abdomen, Nausea and vomiting, Unintentional weight loss, Fatigue(Feeling Tired), Loss of appetite, Fever-- usually low-grade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Bloating or abdominal gas, Itching, dark urine"
317,Hepatorenal syndrome,"Nausea and vomiting, Stupor (lack of alertness), Decreased urine output, Yellowing of skin and whites of the eyes (jaundice), Swelling of abdomen, Muscle twitching, dark urine, weight gain"
318,Hernia,"Nausea and vomiting, No longer being able to pass gas, unable to pass stools"
319,Herniated(slipped) disk,"sharp pain in one part of the leg, hip, or buttocks, and numbness in other parts, pain or numbness on the back of the calf or sole of the foot, pain when moving your neck, deep pain near or over the shoulder blade, or pain that moves to the upper arm, forearm, and fingers, numbness along your shoulder, elbow, forearm, and fingers, pain get worse after standing or sitting, pain get worse at night, pain get worse when sneezing, coughing, or laughing, pain gets worse when bending backward or walking more than a few yards or meters, pain get worse when straining or holding your breath, such as when having a bowel movement"
320,Herpangina,"Headache, fever, Loss of appetite, Fever-- usually low-grade, Sore throat, Ulcers in the mouth and throat, and similar sores on the feet, hands, and buttocks"
321,Herpes - oral,"Difficulty swallowing liquids and solids, fever, Fever-- usually low-grade, Sore throat, Swollen glands, Itching of the lips or skin around the mouth, Burning near the lips or mouth area, Tingling near the lips or mouth area"
322,Herpetic stomatitis,"Difficulty swallowing liquids and solids, fever, Difficulty swallowing -- choking easily, drooling, or gagging, Irritability, Swollen gums, Blisters in the mouth, often on the tongue, cheeks, roof of the mouth, gums, and on the border between the inside of the lip and the skin next to it, After blisters pop, they form ulcers in the mouth, often on the tongue or cheeks, Mouth pain"
323,Hiatal hernia,"Difficulty swallowing liquids and solids, Heartburn, chest pain"
324,High arch,"Shortened foot length, Difficulty fitting shoes, Foot pain with walking, standing, and running"
325,High potassium level,"Nausea and vomiting, Difficulty breathing, Palpitations, chest pain, Sudden collapse, when the heartbeat gets too slow or even stops"
326,Histoplasmosis,"Cough, Joint pain, Fever with chills and sweating, Mouth sores, Chest pain, which worsens when you breathe in deeply (pleurisy), Red skin bumps, most often on the lower legs"
327,Histrionic personality disorder,"Acting or looking overly seductive, Being easily influenced by other people, Being overly concerned with their looks, Being overly dramatic and emotional, Being overly sensitive to criticism or disapproval, Believing that relationships are more intimate than they actually are, Blaming failure or disappointment on others, Constantly seeking reassurance or approval, Having a low tolerance for frustration or delayed gratification, Needing to be the center of attention (self-centeredness), Quickly changing emotions, which may seem shallow to others"
328,HIV/AIDS,"Headache, fever, Fever-- usually low-grade, Night sweats, diarrhea, Pneumonia(lung infection), Sore throat, Muscle pain, Enlarged lymph nodes, liver, or spleen, Intestinal infection"
329,Hives,"Itching, Swelling of the surface of the skin into red- or skin-colored welts (called wheals) with clearly defined edges, Wheals may get bigger, spread, and join together to form larger areas of flat, raised skin, Wheals often change shape, disappear, and reappear within minutes or hours, it is unusual for a wheal to last more than 48 hours"
330,Hodgkin lymphoma,"Unintentional weight loss, Loss of appetite, Swollen lymph nodes in the neck, under arms, and groin, Feeling very tired all the time, Fever and chills that come and go, Itching all over the body that cannot be explained, Drenching night sweats"
331,Homocystinuria,"Intellectual disability, Chest deformities, Flush across the cheeks, High arches of the feet, Knock knees, Long limbs, Mental disorders, Nearsightedness, Spidery fingers"
332,Hookworm infection,"Pale skin, Nausea and vomiting, Cough, Fatigue(Feeling Tired), fever, Loss of appetite, Fever-- usually low-grade, Bloating or abdominal gas, diarrhea, Rashes, Abdominal discomfort"
333,Horner syndrome,"Lack of coordination, Hearing loss, weakness, Hoarseness, Drooping eyelids, Bladder or bowel problems, Double vision, Decreased sweating on the affected side of the face, Sinking of the eyeball into the face, Different sizes of pupils of the eyes (anisocoria) with the affected side pupil being smaller, Vertigo (sensation that surroundings are spinning) with nausea and vomiting, One sided neck and ear pain, Overreaction of the involuntary (autonomic) nervous system to stimulation (hyperreflexia)"
334,Huntington disease,"Hallucinations, Irritability, Restlessness, Behavioral disturbances, Moodiness, Paranoia, Psychosis"
335,Hypercalcemia,"Nausea and vomiting, Stupor (lack of alertness), Fatigue(Feeling Tired), Loss of appetite, Bone pain or tenderness, Constipation, Muscle twitching, Excessive thirst, Frequent and strong urge to urinate"
336,Hyperparathyroidism,"Nausea and vomiting, Fatigue(Feeling Tired), Loss of appetite, Bone pain or tenderness, Delusions, depression, and agitation, Kidney stones, Frequent and strong urge to urinate, Fragile bones of the limbs and spine that can break easily"
337,Hypersensitivity pneumonitis,"Cough, Unintentional weight loss, Shortness of breath, fever, Loss of appetite, Malaise(general discomfortness,ill feeling or uneasiness), Chills, Dry cough"
338,Hypersensitivity vasculitis,"New rash with tender, purple or brownish-red spots over large areas, Skin sores mostly located on the legs, buttocks, or trunk, Blisters on the skin, Hives (urticaria), may last longer than 24 hours, Open sores with dead tissue (necrotic ulcers)"
339,Hypersplenism,"Feeling full after only a few bites, Pain or fullness in the upper left belly (enlarged spleen), Low level of one or more types of blood cells, Stomach pain on the left side"
340,Hyperthyroidism,"Unintentional weight loss, Fatigue(Feeling Tired), Excessive sweating, Anxiety, Hand tremor, Sleep problems, Restlessness, Difficulty in thinking, Enlarged neck or presence of goiter, which may be the only early symptom, Hair loss, Constant urge to have a bowel movement, Menstrual bleeding that is not regular or predictable, Increased appetite, Heat intolerance, Nervousness"
341,Hypertrophic cardiomyopathy,"Fainting/Drowsiness, Fatigue(Feeling Tired), Shortness of breath that gets worse with activity, Lightheadedness, Palpitations, chest pain"
342,Hypervitaminosis A,"Fainting/Drowsiness, Nausea and vomiting, Headache, Bone pain or tenderness, Vision problems, or functional blindness, Irritability, Blurred vision, Failure to gain weight, Double vision, Decreased appetite (may also be increased or unchanged), Changes in alertness (usually more alert in the morning, less alert at night)"
343,Hypervitaminosis D,"Increased need to urinate, Fatigue(Feeling Tired), Dehydration, Loss of appetite, High blood pressure, Constipation, Excessive thirst, Irritability, Vomiting, Muscle weakness"
344,Hyphema,"Light sensitivity, Vision problems, or functional blindness, Eye pain, Bleeding in the anterior chamber of the eye"
345,Hypogonadotropic hypogonadism,"Loss of interest in sex, Loss of menstrual periods, Infertility, n boys, no development of sex characteristics, such as enlargement of the testes and penis, deepening of the voice, and facial hair, In girls, a lack of breast development and menstrual periods"
346,Immune hemolytic anemia,"Fatigue(Feeling Tired), Shortness of breath, Headache, Lightheadedness, Difficulty in thinking, Pale skin due to anemia (pallor)"
347,Immune thrombocytopenic purpura (ITP),"Nosebleeds, Easy bruising and bleeding, Heavy menstrual periods, Bleeding into the skin, often around the shins, causing a skin rash that looks like pinpoint red spots (petechial rash)"
348,Impetigo,"One or many blisters that are filled with pus and easy to pop, in infants, the skin is reddish or raw-looking where a blister has broken, Blisters that itch are filled with yellow or honey-colored fluid and ooze and crust over, rash that may begin as a single spot but spreads to other areas due to scratching, Skin sores on the face, lips, arms, or legs that spread to other areas, Swollen lymph nodes near the infection"
349,Insomnia,"Trouble falling asleep on most nights, Feeling tired during the day or falling asleep during the day, Not feeling refreshed when you wake up, Waking up several times during sleep"
350,Jaundice,"Clay-colored stools, dark urine, Yellow color inside the mouth"
351,Keratosis obturans,"Hearing loss, Mild to severe pain, Inflammation of ear canal"
352,Keratosis pilaris,"Small bumps that look like ""goose bumps"" on the back of the upper arms and thighs, Bumps feel like very rough sandpaper, Skin-colored bumps are the size of a grain of sand, Slight pinkness may be seen around some bumps, Bumps may appear on the face and be mistaken for acne"
353,Kidney stones,"Nausea and vomiting, Blood in the urine, Chills, Abnormal urine color, Pain may be felt in the belly area or side of the back, Pain may move to the groin area (groin pain), testicles (testicle pain) in men, and labia (vaginal pain) in women"
354,Klinefelter syndrome,"Trouble getting or staying pregnant (infertility), Urethra on the underside of the penis, Testicles that have not moved into the scrotum, Being slow to sit up, walk, crawl, and speak, Delayed puberty, Enlarged breasts, Small penis size, Sexual problems"
355,Krabbe disease,"Convulsions (seizures), Loss of vision, Hearing loss, Changes in muscle tone, especially muscle spasms and uncontrolled movements, Irritability, Trouble feeding, Vomiting, Failure to thrive"
356,Kwashiorkor,"Shock, Fatigue(Feeling Tired), Lethargy, diarrhea, Rashes, Irritability, Failure to gain weight, Changes in skin pigment, Increased and more severe infections due to damaged immune system, Hair changes (change in color or texture), Large belly that sticks out (protrudes)"
357,Kuru,"Lack of coordination, Difficulty swallowing liquids and solids, Headache, Pain in the arms or legs, tremor in full body, Walking difficulty"
358,Labyrinthitis,"Fainting/Drowsiness, Nausea and vomiting, Hearing loss, Ringing (tinnitus) in the affected ear, Loss of balance, Vertigo (sensation that surroundings are spinning) with nausea and vomiting, Your eyes moving on their own, making it hard to focus them"
359,Laryngitis,"Hoarseness, fever, Fever-- usually low-grade, Swollen lymph nodes in the neck, under arms, and groin"
360,Leishmaniasis,"Difficulty breathing, Difficulty swallowing liquids and solids, Nosebleeds, Mouth and throat ulcers, Runny nose, Skin sores (lesions), stuffy nose"
361,Leprosy,"Muscle weakness, Weakness or numbness of arms, legs, face, Skin lesions that are lighter than your normal skin color, Lesions that have decreased sensation to touch, heat, or pain, Lesions that do not heal after several weeks to months"
362,Leptospirosis,"Nausea and vomiting, Headache, fever, diarrhea, Chills, Muscle pain, Dry cough"
363,Leydig cell testicular tumor,"Tenderness or pain in the testicles, Infertility, Enlargement of a testicle or change in the way it feels, Excess growth of breast tissue, Heaviness in the scrotum, Lump or swelling in either testicle"
364,Limb-girdle muscular dystrophies,"Weakness of the face or facial asymmetry, Palpitations, Numbness or abnormal sensations in the shoulders or arms, Low back pain, radiating along both legs, Abnormal, sometimes waddling, walk, Joints that are fixed in a contracted position, Large and muscular-looking calves (pseudohypertrophy), which are not actually strong, Loss of muscle mass, thinning of certain body parts"
365,Listeriosis,"Shock, Lethargy, Loss of appetite, Yellowing of skin and whites of the eyes (jaundice), Rashes, Vomiting, Respiratory distress or failure"
366,Low blood potassium,"Fatigue(Feeling Tired), Constipation, Muscle cramps, Palpitations, Muscle spasms"
367,Low blood pressure,"Fainting/Drowsiness, Nausea and vomiting, Confusion, Sleepiness, weakness, Lightheadedness, Blurred vision"
368,Low blood sodium,"Nausea and vomiting, Convulsions (seizures), Confusion, Fatigue(Feeling Tired), Headache, Loss of appetite, Prolonged muscle spasms(tetany), Muscle cramps, Irritability, Restlessness, Muscle weakness"
369,Low blood sugar,"Rapid heart rate, Convulsions (seizures), Headache, weakness, Excessive sweating, Difficulty sleeping, Trembling or twitching, Blurred vision, Difficulty in thinking, Double vision, Feeling nervous, Hunger"
370,Ludwig angina,"Difficulty breathing, Difficulty swallowing liquids and solids, fever, Clumsy speech pattern (dysarthria), Difficulty swallowing -- choking easily, drooling, or gagging, neck pain, Tongue swelling or protrusion of the tongue out of the mouth, tooth pain, Neck swelling, Redness of the neck"
371,Lupus nephritis,"Blood in the urine, High blood pressure, general swelling, Foamy appearance of urine"
372,Lyme disease,"Headache, Joint pain, Stiffness in the neck, Malaise(general discomfortness,ill feeling or uneasiness), Fever with chills and sweating, Muscle pain"
373,Malabsorption,"Bloating or abdominal gas, diarrhea, Abdominal cramps, Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools, Bulky stools"
374,Malaria,"Nausea and vomiting, Coma (lack of responsiveness), Convulsions (seizures), Blood in the stool, Headache, Yellowing of skin and whites of the eyes (jaundice), Fever with chills and sweating, Muscle pain, Anemia"
375,Malignant hypertension,"Nausea and vomiting, Convulsions (seizures), Stupor (lack of alertness), Cough, Decreased urine output, Fatigue(Feeling Tired), Shortness of breath, Headache, Anxiety, Decreased alertness, chest pain, Blurred vision, Restlessness, Weakness of an arm or leg, Changes in mental status, such as confusion, slow response or thinking, unable to focus, or sleepiness, Weakness or numbness of arms, legs, face, Problem concentrating"
376,Malignant hyperthermia,"Easy bruising and bleeding, Muscle stiffness, Muscle pain, dark urine, muscle rigidity, Rise in body temperature to 105°F (40.6°C) or higher"
377,Malignant mesothelioma,"Pain in the abdomen, Cough, Unintentional weight loss, Fatigue(Feeling Tired), Shortness of breath, Bloating or abdominal gas, Fever with chills and sweating, Chest pain, which worsens when you breathe in deeply (pleurisy)"
378,Malignant otitis externa,"Difficulty swallowing liquids and solids, Hearing loss, Weakness of the face or facial asymmetry, fever, Ongoing drainage from the ear that is yellow or green and smells bad, Ear pain deep inside the ear, pain may get worse when you move your head, Itching of the ear or ear canal"
379,Malignant teratoma of the mediastinum,"Cough, Fatigue(Feeling Tired), Shortness of breath, chest pain, Limited ability to tolerate exercise"
380,Maple syrup urine disease,"Coma (lack of responsiveness), Convulsions (seizures), Lethargy, Trouble feeding, Vomiting, Urine that smells like maple syrup"
381,Marfan syndrome,"Small lower jaw, Loss of muscle tone (floppiness), Learning disabilities, Flat feet, Nearsightedness, A chest that sinks in or sticks out, called funnel chest (pectus excavatum) or pigeon breast (pectus carinatum), Highly arched palate and crowded teeth, Joints that are too flexible (but the elbows may be less flexible), Movement of the lens of the eye from its normal position (dislocation), Spine that curves to one side, Thin, narrow face"
382,Mastoiditis,"Hearing loss, Headache, fever, Ear discomfort or pain in one or both ears, Drainage from the ear, Redness of the ear or behind the ear, Swelling behind the ear, may cause ear to stick out or feel as if it is filled with fluid"
